Gene	Matched_Count	Total_Count	Mismatches
ZEB1	100	379	SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,ZEB1-AS1,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502,SPTLC1P1,LOC100505502
C6orf132	41	41	None
HAVCR2	100	105	MED7,MED7,MED7,MED7,MED7
FCER1G	15	15	None
BACE2	91	142	PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4,PLAC4
GZMA	12	12	None
NARS	0	74	NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1,NARS1
MKI67	40	40	None
EPCAM	51	123	RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,RN7SKP119,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,MIR559,LOC132386
CTLA4	47	47	None
ANKRD29	68	129	CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981,CHS.165981
CD19	28	28	None
GZMK	24	31	LOC102467081,LOC102467081,LOC102467081,LOC102467081,LOC102467081,LOC102467081,LOC102467081
DSC2	100	287	LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,LOC124904377,LOC124904377,LOC124904377,LOC124904377,LOC124904377,LOC124904377,LOC124904377,LOC124904377,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,LOC124904377,LOC124904377,LOC124904377,LOC124904377,DSCAS,LOC124904377,DSCAS,LOC124904377,DSCAS
KRT14	10	17	KRT16P6,KRT16P6,KRT16P6,KRT16P6,KRT16P6,KRT16P6,KRT16P6
SERPINB9	40	80	SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1,SERPINB9-AS1
GLIPR1	55	156	GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,GLIPR1-AS1,KRR1,KRR1,KRR1,KRR1,KRR1,KRR1,KRR1,KRR1,KRR1,KRR1
CD3E	52	52	None
AQP3	30	30	None
TCIM	17	17	None
BANK1	100	236	RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,RNU6-462P,MTND5P5,CHS.41004,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5,MTND5P5
OPRPN	20	20	None
ALDH1A3	68	135	LOC124903575,GCAWKR,LOC124903575,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,LRRK1,ALDH1A3-AS1,ALDH1A3-AS1,LRRK1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1,ALDH1A3-AS1
SLAMF7	113	113	None
VWF	26	102	SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,SNORA120,RN7SL69P,RN7SL69P,RN7SL69P,RN7SL69P,PARP4P3,CHS.35107,ANKRD62P1-PARP4P3,ANKRD62P1,VWFP1,TPTEP1,SLC25A15P5,PARP4P3,CHS.35107,ANKRD62P1-PARP4P3,ANKRD62P1,VWFP1,TPTEP1,SLC25A15P5,PARP4P3,CHS.35107,ANKRD62P1-PARP4P3,ANKRD62P1,VWFP1,TPTEP1,SLC25A15P5,PARP4P3,ANKRD62P1-PARP4P3,ANKRD62P1,VWFP1,TPTEP1,SLC25A15P5,VWFP1,VWFP1,LINC01665,VWFP1
PECAM1	39	39	None
PIM1	24	24	None
ZEB2	233	548	CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166719,CHS.166560,CHS.166719,CHS.166560,CHS.166719,CHS.166560,CHS.166719,CHS.166560,CHS.166719,CHS.166560,CHS.166719,CHS.166560,CHS.166719,CHS.166560,CHS.166719,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,CHS.166560,CHS.166719,CHS.166560,CHS.166719,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166560,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,CHS.166719,ZEB2-AS1,ZEB2P1,LOC124900674
QARS	0	162	QARS1,QARS1,QARS1,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,QARS1,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,QARS1,QARS1,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,QARS1,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,QARS1,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,MIR6890,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1,QARS1
PELI1	27	27	None
SDC4	19	19	None
SSTR2	20	20	None
SCD	20	23	SCDP1,SCDP1,SCDP1
KLRB1	12	12	None
